Complex ID,Complex Name,ADA,ADA Notes
601,14 St / 6 Av,0,
602,14 St - Union Sq,2,"All lines accessible except 4,5,6 (Lex)"
603,149 St - Grand Concourse,0,
604,161 St - Yankee Stadium,1,
605,168 St - Washington Hts,2,"A,C lines accessible; 1 line not accessible"
606,Court Sq - 23 St,2,7 line accesible; E line accessible in SB direction only
607,34 St - Herald Sq,1,
608,4 Av - 9 St,0,
609,42 St - Bryant Pk / 5 Av,0,
610,Grand Central - 42 St,1,
611,Times Sq - 42 St / Port Authority Bus Terminal,1,
612,51 St - Lexington Av / 53 St,1,
613,Lexington Av / 59 St,0,
614,59 St - Columbus Circle,1,
615,62 St / New Utrecht Av,1,
616,Jackson Hts-Roosevelt Av / 74 St,1,
617,Atlantic Av-Barclays Ctr,1,
618,14 St / 8 Av,1,
619,Broadway-Lafayette St / Bleecker St,1,
620,Borough Hall / Court St,2,"2,3 lines accessible; 4,5 accessible NB direction only; R not accessible"
621,Broadway Junction,0,
622,Brooklyn Bridge-City Hall / Chambers St,1,
623,Canal St,2,Only 6 line accessible
624,Chambers St / WTC / Park Place / Cortlandt St,2,"R,W and E lines accessible; A,C and 2,3 lines not accessible"
625,Delancey St / Essex St,0,
626,Franklin Av-Medgar Evers College / Botanic Garden,0,
627,Franklin Av,1,
628,Fulton St,1,
629,Metropolitan Av / Lorimer St,0,
630,Myrtle - Wyckoff Avs,1,
635,South Ferry / Whitehall,2,Only 1 line accessible
636,Jay St - MetroTech,1,
